"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject_id","study_id","session_id","pair_count","randomized_pair_order","block1_codes","block2_codes","max_run_block1","max_run_block2","fullscreen_exit_count","tab_switch_count","video_attention_failure_count","total_attention_violation_count","view_history","rt","stimulus","response","trial_kind","question_order","spacebar_question_answer","attention_question_answer","spacebar_question_correct","attention_question_correct","instruction_check_passed","demo_index","demo_code","stimulus_file","stimulus_name","predictability","boundary_times_sec","boundary_count","value","video_code","pair_number","block","global_position_in_block","min_press_gap_sec","no_press_failure","rapid_press_failure","video_attention_failed","video_attention_failure_type","last_video_had_any_attention_violation","current_video_fullscreen_exit_count","current_video_tab_switch_count","current_video_had_fullscreen_exit","current_video_had_tab_switch","current_video_had_video_attention_failure","skipped_video_debug","confidence_rating"
"true","false","[]","[]","[]","preload","0","2.0.0","1438","66","1","2026-06-08 14:05:25","segmentation_norming_randomized_order_maxrun_attention_v4","81.99.50.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","WebKit","Chrome","148.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a02fc6e1186071261f2734f&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?PROLIFIC_PID=6a02fc6e1186071261f2734f&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?","en-US,en;q=0.9","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","30","[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]","[""U17"",""U4"",""U11"",""U21"",""P13"",""U14"",""P1"",""U12"",""P7"",""U3"",""P18"",""U10"",""P9"",""U25"",""U30"",""U27"",""P5"",""P15"",""P19"",""P8"",""P29"",""U6"",""P26"",""P16"",""U20"",""U23"",""P24"",""U2"",""U22"",""U28""]","[""P17"",""P4"",""P11"",""P21"",""U13"",""P14"",""U1"",""P12"",""U7"",""P3"",""U18"",""P10"",""U9"",""P25"",""P30"",""P27"",""U5"",""U15"",""U19"",""U8"",""U29"",""P6"",""U26"",""U16"",""P20"",""P23"",""U24"",""P2"",""P22"",""P28""]","5","5","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","2.0.0","8852","66","1","2026-06-08 14:05:25","segmentation_norming_randomized_order_maxrun_attention_v4","81.99.50.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","WebKit","Chrome","148.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a02fc6e1186071261f2734f&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?PROLIFIC_PID=6a02fc6e1186071261f2734f&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?","en-US,en;q=0.9","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","30","[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]","[""U17"",""U4"",""U11"",""U21"",""P13"",""U14"",""P1"",""U12"",""P7"",""U3"",""P18"",""U10"",""P9"",""U25"",""U30"",""U27"",""P5"",""P15"",""P19"",""P8"",""P29"",""U6"",""P26"",""P16"",""U20"",""U23"",""P24"",""U2"",""U22"",""U28""]","[""P17"",""P4"",""P11"",""P21"",""U13"",""P14"",""U1"",""P12"",""U7"",""P3"",""U18"",""P10"",""U9"",""P25"",""P30"",""P27"",""U5"",""U15"",""U19"",""U8"",""U29"",""P6"",""U26"",""U16"",""P20"",""P23"",""U24"",""P2"",""P22"",""P28""]","5","5","0","0","0","0","[{""page_index"":0,""viewing_time"":7413}]","7413","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","2.0.0","14196","66","1","2026-06-08 14:05:25","segmentation_norming_randomized_order_maxrun_attention_v4","81.99.50.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","WebKit","Chrome","148.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a02fc6e1186071261f2734f&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?PROLIFIC_PID=6a02fc6e1186071261f2734f&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?","en-US,en;q=0.9","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","30","[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]","[""U17"",""U4"",""U11"",""U21"",""P13"",""U14"",""P1"",""U12"",""P7"",""U3"",""P18"",""U10"",""P9"",""U25"",""U30"",""U27"",""P5"",""P15"",""P19"",""P8"",""P29"",""U6"",""P26"",""P16"",""U20"",""U23"",""P24"",""U2"",""U22"",""U28""]","[""P17"",""P4"",""P11"",""P21"",""U13"",""P14"",""U1"",""P12"",""U7"",""P3"",""U18"",""P10"",""U9"",""P25"",""P30"",""P27"",""U5"",""U15"",""U19"",""U8"",""U29"",""P6"",""U26"",""U16"",""P20"",""P23"",""U24"",""P2"",""P22"",""P28""]","5","5","0","0","0","0","","4339","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","2.0.0","23205","66","1","2026-06-08 14:05:25","segmentation_norming_randomized_order_maxrun_attention_v4","81.99.50.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","WebKit","Chrome","148.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a02fc6e1186071261f2734f&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?PROLIFIC_PID=6a02fc6e1186071261f2734f&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?","en-US,en;q=0.9","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","30","[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]","[""U17"",""U4"",""U11"",""U21"",""P13"",""U14"",""P1"",""U12"",""P7"",""U3"",""P18"",""U10"",""P9"",""U25"",""U30"",""U27"",""P5"",""P15"",""P19"",""P8"",""P29"",""U6"",""P26"",""P16"",""U20"",""U23"",""P24"",""U2"",""U22"",""U28""]","[""P17"",""P4"",""P11"",""P21"",""U13"",""P14"",""U1"",""P12"",""U7"",""P3"",""U18"",""P10"",""U9"",""P25"",""P30"",""P27"",""U5"",""U15"",""U19"",""U8"",""U29"",""P6"",""U26"",""U16"",""P20"",""P23"",""U24"",""P2"",""P22"",""P28""]","5","5","0","0","0","0","","9009","The experiment requires continuous attention and full-screen participation throughout the task.<br><br>You may be asked to exit the experiment and cancel your participation if you exit Full Screen Mode, switch tabs, or fail to meet the attention criteria more than the allowed number of times.<br><br>Please read the following instructions carefully.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","2.0.0","47718","66","1","2026-06-08 14:05:25","segmentation_norming_randomized_order_maxrun_attention_v4","81.99.50.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","WebKit","Chrome","148.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a02fc6e1186071261f2734f&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?PROLIFIC_PID=6a02fc6e1186071261f2734f&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?","en-US,en;q=0.9","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","30","[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]","[""U17"",""U4"",""U11"",""U21"",""P13"",""U14"",""P1"",""U12"",""P7"",""U3"",""P18"",""U10"",""P9"",""U25"",""U30"",""U27"",""P5"",""P15"",""P19"",""P8"",""P29"",""U6"",""P26"",""P16"",""U20"",""U23"",""P24"",""U2"",""U22"",""U28""]","[""P17"",""P4"",""P11"",""P21"",""U13"",""P14"",""U1"",""P12"",""U7"",""P3"",""U18"",""P10"",""U9"",""P25"",""P30"",""P27"",""U5"",""U15"",""U19"",""U8"",""U29"",""P6"",""U26"",""U16"",""P20"",""P23"",""U24"",""P2"",""P22"",""P28""]","5","5","0","0","0","0","[{""page_index"":0,""viewing_time"":24512}]","24512","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","2.0.0","64357","66","1","2026-06-08 14:05:25","segmentation_norming_randomized_order_maxrun_attention_v4","81.99.50.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","WebKit","Chrome","148.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a02fc6e1186071261f2734f&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?PROLIFIC_PID=6a02fc6e1186071261f2734f&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?","en-US,en;q=0.9","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","30","[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]","[""U17"",""U4"",""U11"",""U21"",""P13"",""U14"",""P1"",""U12"",""P7"",""U3"",""P18"",""U10"",""P9"",""U25"",""U30"",""U27"",""P5"",""P15"",""P19"",""P8"",""P29"",""U6"",""P26"",""P16"",""U20"",""U23"",""P24"",""U2"",""U22"",""U28""]","[""P17"",""P4"",""P11"",""P21"",""U13"",""P14"",""U1"",""P12"",""U7"",""P3"",""U18"",""P10"",""U9"",""P25"",""P30"",""P27"",""U5"",""U15"",""U19"",""U8"",""U29"",""P6"",""U26"",""U16"",""P20"",""P23"",""U24"",""P2"",""P22"",""P28""]","5","5","0","0","0","0","","16639","Please pay attention when watching videos and marking boundaries.<br><br>There are several hidden attention criteria to make sure you watch the videos carefully.<br><br>If you fail these hidden criteria more than the allowed number of times, you may be asked to exit the experiment.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","6","2.0.0","81782","66","1","2026-06-08 14:05:25","segmentation_norming_randomized_order_maxrun_attention_v4","81.99.50.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","WebKit","Chrome","148.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a02fc6e1186071261f2734f&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?PROLIFIC_PID=6a02fc6e1186071261f2734f&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?","en-US,en;q=0.9","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","30","[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]","[""U17"",""U4"",""U11"",""U21"",""P13"",""U14"",""P1"",""U12"",""P7"",""U3"",""P18"",""U10"",""P9"",""U25"",""U30"",""U27"",""P5"",""P15"",""P19"",""P8"",""P29"",""U6"",""P26"",""P16"",""U20"",""U23"",""P24"",""U2"",""U22"",""U28""]","[""P17"",""P4"",""P11"",""P21"",""U13"",""P14"",""U1"",""P12"",""U7"",""P3"",""U18"",""P10"",""U9"",""P25"",""P30"",""P27"",""U5"",""U15"",""U19"",""U8"",""U29"",""P6"",""U26"",""U16"",""P20"",""P23"",""U24"",""P2"",""P22"",""P28""]","5","5","0","0","0","0","","17423","","{""spacebar_question"":""Between the smallest meaningful events or actions"",""attention_question"":""Press space bar to segment the video""}","comprehension_check","[0,1]","Between the smallest meaningful events or actions","Press space bar to segment the video","true","true","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","2.0.0","94414","66","1","2026-06-08 14:05:25","segmentation_norming_randomized_order_maxrun_attention_v4","81.99.50.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","WebKit","Chrome","148.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a02fc6e1186071261f2734f&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?PROLIFIC_PID=6a02fc6e1186071261f2734f&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?","en-US,en;q=0.9","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","30","[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]","[""U17"",""U4"",""U11"",""U21"",""P13"",""U14"",""P1"",""U12"",""P7"",""U3"",""P18"",""U10"",""P9"",""U25"",""U30"",""U27"",""P5"",""P15"",""P19"",""P8"",""P29"",""U6"",""P26"",""P16"",""U20"",""U23"",""P24"",""U2"",""U22"",""U28""]","[""P17"",""P4"",""P11"",""P21"",""U13"",""P14"",""U1"",""P12"",""U7"",""P3"",""U18"",""P10"",""U9"",""P25"",""P30"",""P27"",""U5"",""U15"",""U19"",""U8"",""U29"",""P6"",""U26"",""U16"",""P20"",""P23"",""U24"",""P2"",""P22"",""P28""]","5","5","0","0","0","0","","12630","You have learned the instructions for the task! Here is a demo trial.<br><br>Like what you will do in the main experiment,<br><br> you will watch a movie clip and at the same time mark off the activity in the movie into the <strong>smallest meaningful units</strong> that seem natural and meaningful to you.<br><br>Remember, tap the <strong>SPACE BAR</strong> to mark off a boundary between two <strong>smallest meaningful units</strong> of activity.<br><br>A green bar will appear at the bottom of the screen when you press the button.<br><br>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","9","2.0.0","111161","66","1","2026-06-08 14:05:25","segmentation_norming_randomized_order_maxrun_attention_v4","81.99.50.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","WebKit","Chrome","148.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a02fc6e1186071261f2734f&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?PROLIFIC_PID=6a02fc6e1186071261f2734f&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?","en-US,en;q=0.9","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","30","[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]","[""U17"",""U4"",""U11"",""U21"",""P13"",""U14"",""P1"",""U12"",""P7"",""U3"",""P18"",""U10"",""P9"",""U25"",""U30"",""U27"",""P5"",""P15"",""P19"",""P8"",""P29"",""U6"",""P26"",""P16"",""U20"",""U23"",""P24"",""U2"",""U22"",""U28""]","[""P17"",""P4"",""P11"",""P21"",""U13"",""P14"",""U1"",""P12"",""U7"",""P3"",""U18"",""P10"",""U9"",""P25"",""P30"",""P27"",""U5"",""U15"",""U19"",""U8"",""U29"",""P6"",""U26"",""U16"",""P20"",""P23"",""U24"",""P2"",""P22"",""P28""]","5","5","0","0","0","0","","null","[""library_v1.mp4""]","null","demo_video","","","","","","","1","demo1","library_v1.mp4","library","Demo","[9.703902,12.615676,14.191425,15.07951]","4","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","10","2.0.0","111162","66","1","2026-06-08 14:05:25","segmentation_norming_randomized_order_maxrun_attention_v4","81.99.50.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","WebKit","Chrome","148.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a02fc6e1186071261f2734f&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?PROLIFIC_PID=6a02fc6e1186071261f2734f&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?","en-US,en;q=0.9","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","30","[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]","[""U17"",""U4"",""U11"",""U21"",""P13"",""U14"",""P1"",""U12"",""P7"",""U3"",""P18"",""U10"",""P9"",""U25"",""U30"",""U27"",""P5"",""P15"",""P19"",""P8"",""P29"",""U6"",""P26"",""P16"",""U20"",""U23"",""P24"",""U2"",""U22"",""U28""]","[""P17"",""P4"",""P11"",""P21"",""U13"",""P14"",""U1"",""P12"",""U7"",""P3"",""U18"",""P10"",""U9"",""P25"",""P30"",""P27"",""U5"",""U15"",""U19"",""U8"",""U29"",""P6"",""U26"",""U16"",""P20"",""P23"",""U24"",""P2"",""P22"",""P28""]","5","5","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","2.0.0","118216","66","1","2026-06-08 14:05:25","segmentation_norming_randomized_order_maxrun_attention_v4","81.99.50.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","WebKit","Chrome","148.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a02fc6e1186071261f2734f&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?PROLIFIC_PID=6a02fc6e1186071261f2734f&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?","en-US,en;q=0.9","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","30","[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]","[""U17"",""U4"",""U11"",""U21"",""P13"",""U14"",""P1"",""U12"",""P7"",""U3"",""P18"",""U10"",""P9"",""U25"",""U30"",""U27"",""P5"",""P15"",""P19"",""P8"",""P29"",""U6"",""P26"",""P16"",""U20"",""U23"",""P24"",""U2"",""U22"",""U28""]","[""P17"",""P4"",""P11"",""P21"",""U13"",""P14"",""U1"",""P12"",""U7"",""P3"",""U18"",""P10"",""U9"",""P25"",""P30"",""P27"",""U5"",""U15"",""U19"",""U8"",""U29"",""P6"",""U26"",""U16"",""P20"",""P23"",""U24"",""P2"",""P22"",""P28""]","5","5","0","0","0","0","","7054","Usually people tend to press the button more times than you did.<br><br>As a reminder, press the <strong>SPACE BAR</strong> whenever one <strong>smallest meaningful unit</strong> of activity ends and another begins.<br><br>Let's try another demo trial.<br><br>","0","demo_feedback","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","12","2.0.0","153741","66","1","2026-06-08 14:05:25","segmentation_norming_randomized_order_maxrun_attention_v4","81.99.50.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","WebKit","Chrome","148.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a02fc6e1186071261f2734f&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?PROLIFIC_PID=6a02fc6e1186071261f2734f&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?","en-US,en;q=0.9","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","30","[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]","[""U17"",""U4"",""U11"",""U21"",""P13"",""U14"",""P1"",""U12"",""P7"",""U3"",""P18"",""U10"",""P9"",""U25"",""U30"",""U27"",""P5"",""P15"",""P19"",""P8"",""P29"",""U6"",""P26"",""P16"",""U20"",""U23"",""P24"",""U2"",""U22"",""U28""]","[""P17"",""P4"",""P11"",""P21"",""U13"",""P14"",""U1"",""P12"",""U7"",""P3"",""U18"",""P10"",""U9"",""P25"",""P30"",""P27"",""U5"",""U15"",""U19"",""U8"",""U29"",""P6"",""U26"",""U16"",""P20"",""P23"",""U24"",""P2"",""P22"",""P28""]","5","5","0","0","0","0","","null","[""garden_v1.mp4""]","null","demo_video","","","","","","","2","demo2","garden_v1.mp4","garden","Demo","[1.547638,2.819416,3.771965,5.995554,8.787747,11.69955,13.523826,15.275416,18.243412,20.956151,22.763578,24.851659,26.571679,30.251895,33.524011]","15","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","13","2.0.0","153741","66","1","2026-06-08 14:05:25","segmentation_norming_randomized_order_maxrun_attention_v4","81.99.50.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","WebKit","Chrome","148.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a02fc6e1186071261f2734f&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?PROLIFIC_PID=6a02fc6e1186071261f2734f&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?","en-US,en;q=0.9","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","30","[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]","[""U17"",""U4"",""U11"",""U21"",""P13"",""U14"",""P1"",""U12"",""P7"",""U3"",""P18"",""U10"",""P9"",""U25"",""U30"",""U27"",""P5"",""P15"",""P19"",""P8"",""P29"",""U6"",""P26"",""P16"",""U20"",""U23"",""P24"",""U2"",""U22"",""U28""]","[""P17"",""P4"",""P11"",""P21"",""U13"",""P14"",""U1"",""P12"",""U7"",""P3"",""U18"",""P10"",""U9"",""P25"",""P30"",""P27"",""U5"",""U15"",""U19"",""U8"",""U29"",""P6"",""U26"",""U16"",""P20"",""P23"",""U24"",""P2"",""P22"",""P28""]","5","5","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","2.0.0","161418","66","1","2026-06-08 14:05:25","segmentation_norming_randomized_order_maxrun_attention_v4","81.99.50.76","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36","WebKit","Chrome","148.0.0.0","Windows","10.0","https://uencdihehs.cognition.run/?PROLIFIC_PID=6a02fc6e1186071261f2734f&STUDY_ID=6a230fc25d128c9d1b56061a&STUDY_ID=6a230fc25d128c9d1b56061a&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?PROLIFIC_PID=6a02fc6e1186071261f2734f&SESSION_ID=6a26cc17d17ccd6b54b3fa2a?","en-US,en;q=0.9","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","6a02fc6e1186071261f2734f","6a230fc25d128c9d1b56061a","6a26cc17d17ccd6b54b3fa2a?","30","[17,4,11,21,13,14,1,12,7,3,18,10,9,25,30,27,5,15,19,8,29,6,26,16,20,23,24,2,22,28]","[""U17"",""U4"",""U11"",""U21"",""P13"",""U14"",""P1"",""U12"",""P7"",""U3"",""P18"",""U10"",""P9"",""U25"",""U30"",""U27"",""P5"",""P15"",""P19"",""P8"",""P29"",""U6"",""P26"",""P16"",""U20"",""U23"",""P24"",""U2"",""U22"",""U28""]","[""P17"",""P4"",""P11"",""P21"",""U13"",""P14"",""U1"",""P12"",""U7"",""P3"",""U18"",""P10"",""U9"",""P25"",""P30"",""P27"",""U5"",""U15"",""U19"",""U8"",""U29"",""P6"",""U26"",""U16"",""P20"",""P23"",""U24"",""P2"",""P22"",""P28""]","5","5","0","0","0","0","","7676","Great! Hopefully you got an idea of what a meaningful unit is.<br><br>Remember that there is no right or wrong answer.<br><br>We just want to know which parts of the activity seem natural and meaningful to you.<br><br>Now the main experiment starts.<br><br>For each clip, while watching, remember to press the SPACE BAR whenever one <strong>smallest meaningful unit</strong> of activity ends and another begins.<br><br>","0","demo_feedback","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
