"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject_id","study_id","session_id","pair_count","randomized_pair_order","block1_codes","block2_codes","max_run_block1","max_run_block2","fullscreen_exit_count","tab_switch_count","video_attention_failure_count","total_attention_violation_count","view_history","rt","stimulus","response","trial_kind","question_order","spacebar_question_answer","attention_question_answer","spacebar_question_correct","attention_question_correct","instruction_check_passed","demo_index","demo_code","stimulus_file","stimulus_name","predictability","boundary_times_sec","boundary_count","value","video_code","pair_number","block","global_position_in_block","min_press_gap_sec","no_press_failure","rapid_press_failure","video_attention_failed","video_attention_failure_type","last_video_had_any_attention_violation","current_video_fullscreen_exit_count","current_video_tab_switch_count","current_video_had_fullscreen_exit","current_video_had_tab_switch","current_video_had_video_attention_failure","skipped_video_debug","confidence_rating"
"true","false","[]","[]","[]","preload","0","2.0.0","5434","101","1","2026-06-08 20:19:07","segmentation_norming_randomized_order_maxrun_attention_v4","76.32.236.39","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","WebKit","Chrome","142.0.0.0","Linux","","https://uencdihehs.cognition.run/?PROLIFIC_PID=69886a7e4ed41aea28fefced&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a27231e848baeb2f820669b?PROLIFIC_PID=69886a7e4ed41aea28fefced&SESSION_ID=6a27231e848baeb2f820669b?","en-US,en;q=0.9","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","30","[6,2,23,5,30,19,21,9,15,20,4,8,18,26,27,14,17,29,11,3,16,10,24,13,1,12,22,25,7,28]","[""U6"",""P2"",""U23"",""P5"",""P30"",""P19"",""P21"",""U9"",""U15"",""P20"",""U4"",""U8"",""U18"",""U26"",""P27"",""U14"",""P17"",""U29"",""U11"",""U3"",""P16"",""U10"",""P24"",""P13"",""U1"",""U12"",""U22"",""U25"",""P7"",""U28""]","[""P6"",""U2"",""P23"",""U5"",""U30"",""U19"",""U21"",""P9"",""P15"",""U20"",""P4"",""P8"",""P18"",""P26"",""U27"",""P14"",""U17"",""P29"",""P11"",""P3"",""U16"",""P10"",""U24"",""U13"",""P1"",""P12"",""P22"",""P25"",""U7"",""P28""]","4","4","0","0","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","2.0.0","21955","101","1","2026-06-08 20:19:07","segmentation_norming_randomized_order_maxrun_attention_v4","76.32.236.39","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","WebKit","Chrome","142.0.0.0","Linux","","https://uencdihehs.cognition.run/?PROLIFIC_PID=69886a7e4ed41aea28fefced&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a27231e848baeb2f820669b?PROLIFIC_PID=69886a7e4ed41aea28fefced&SESSION_ID=6a27231e848baeb2f820669b?","en-US,en;q=0.9","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","30","[6,2,23,5,30,19,21,9,15,20,4,8,18,26,27,14,17,29,11,3,16,10,24,13,1,12,22,25,7,28]","[""U6"",""P2"",""U23"",""P5"",""P30"",""P19"",""P21"",""U9"",""U15"",""P20"",""U4"",""U8"",""U18"",""U26"",""P27"",""U14"",""P17"",""U29"",""U11"",""U3"",""P16"",""U10"",""P24"",""P13"",""U1"",""U12"",""U22"",""U25"",""P7"",""U28""]","[""P6"",""U2"",""P23"",""U5"",""U30"",""U19"",""U21"",""P9"",""P15"",""U20"",""P4"",""P8"",""P18"",""P26"",""U27"",""P14"",""U17"",""P29"",""P11"",""P3"",""U16"",""P10"",""U24"",""U13"",""P1"",""P12"",""P22"",""P25"",""U7"",""P28""]","4","4","0","0","1","1","[{""page_index"":0,""viewing_time"":16520}]","16520","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","2.0.0","25209","101","1","2026-06-08 20:19:07","segmentation_norming_randomized_order_maxrun_attention_v4","76.32.236.39","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","WebKit","Chrome","142.0.0.0","Linux","","https://uencdihehs.cognition.run/?PROLIFIC_PID=69886a7e4ed41aea28fefced&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a27231e848baeb2f820669b?PROLIFIC_PID=69886a7e4ed41aea28fefced&SESSION_ID=6a27231e848baeb2f820669b?","en-US,en;q=0.9","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","30","[6,2,23,5,30,19,21,9,15,20,4,8,18,26,27,14,17,29,11,3,16,10,24,13,1,12,22,25,7,28]","[""U6"",""P2"",""U23"",""P5"",""P30"",""P19"",""P21"",""U9"",""U15"",""P20"",""U4"",""U8"",""U18"",""U26"",""P27"",""U14"",""P17"",""U29"",""U11"",""U3"",""P16"",""U10"",""P24"",""P13"",""U1"",""U12"",""U22"",""U25"",""P7"",""U28""]","[""P6"",""U2"",""P23"",""U5"",""U30"",""U19"",""U21"",""P9"",""P15"",""U20"",""P4"",""P8"",""P18"",""P26"",""U27"",""P14"",""U17"",""P29"",""P11"",""P3"",""U16"",""P10"",""U24"",""U13"",""P1"",""P12"",""P22"",""P25"",""U7"",""P28""]","4","4","0","0","1","1","","2252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","2.0.0","34449","101","1","2026-06-08 20:19:07","segmentation_norming_randomized_order_maxrun_attention_v4","76.32.236.39","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","WebKit","Chrome","142.0.0.0","Linux","","https://uencdihehs.cognition.run/?PROLIFIC_PID=69886a7e4ed41aea28fefced&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a27231e848baeb2f820669b?PROLIFIC_PID=69886a7e4ed41aea28fefced&SESSION_ID=6a27231e848baeb2f820669b?","en-US,en;q=0.9","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","30","[6,2,23,5,30,19,21,9,15,20,4,8,18,26,27,14,17,29,11,3,16,10,24,13,1,12,22,25,7,28]","[""U6"",""P2"",""U23"",""P5"",""P30"",""P19"",""P21"",""U9"",""U15"",""P20"",""U4"",""U8"",""U18"",""U26"",""P27"",""U14"",""P17"",""U29"",""U11"",""U3"",""P16"",""U10"",""P24"",""P13"",""U1"",""U12"",""U22"",""U25"",""P7"",""U28""]","[""P6"",""U2"",""P23"",""U5"",""U30"",""U19"",""U21"",""P9"",""P15"",""U20"",""P4"",""P8"",""P18"",""P26"",""U27"",""P14"",""U17"",""P29"",""P11"",""P3"",""U16"",""P10"",""U24"",""U13"",""P1"",""P12"",""P22"",""P25"",""U7"",""P28""]","4","4","0","0","1","1","","9239","The experiment requires continuous attention and full-screen participation throughout the task.<br><br>You may be asked to exit the experiment and cancel your participation if you exit Full Screen Mode, switch tabs, or fail to meet the attention criteria more than the allowed number of times.<br><br>Please read the following instructions carefully.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","2.0.0","56768","101","1","2026-06-08 20:19:07","segmentation_norming_randomized_order_maxrun_attention_v4","76.32.236.39","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","WebKit","Chrome","142.0.0.0","Linux","","https://uencdihehs.cognition.run/?PROLIFIC_PID=69886a7e4ed41aea28fefced&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a27231e848baeb2f820669b?PROLIFIC_PID=69886a7e4ed41aea28fefced&SESSION_ID=6a27231e848baeb2f820669b?","en-US,en;q=0.9","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","30","[6,2,23,5,30,19,21,9,15,20,4,8,18,26,27,14,17,29,11,3,16,10,24,13,1,12,22,25,7,28]","[""U6"",""P2"",""U23"",""P5"",""P30"",""P19"",""P21"",""U9"",""U15"",""P20"",""U4"",""U8"",""U18"",""U26"",""P27"",""U14"",""P17"",""U29"",""U11"",""U3"",""P16"",""U10"",""P24"",""P13"",""U1"",""U12"",""U22"",""U25"",""P7"",""U28""]","[""P6"",""U2"",""P23"",""U5"",""U30"",""U19"",""U21"",""P9"",""P15"",""U20"",""P4"",""P8"",""P18"",""P26"",""U27"",""P14"",""U17"",""P29"",""P11"",""P3"",""U16"",""P10"",""U24"",""U13"",""P1"",""P12"",""P22"",""P25"",""U7"",""P28""]","4","4","0","0","1","1","[{""page_index"":0,""viewing_time"":22318}]","22318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","2.0.0","63579","101","1","2026-06-08 20:19:07","segmentation_norming_randomized_order_maxrun_attention_v4","76.32.236.39","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","WebKit","Chrome","142.0.0.0","Linux","","https://uencdihehs.cognition.run/?PROLIFIC_PID=69886a7e4ed41aea28fefced&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a27231e848baeb2f820669b?PROLIFIC_PID=69886a7e4ed41aea28fefced&SESSION_ID=6a27231e848baeb2f820669b?","en-US,en;q=0.9","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","30","[6,2,23,5,30,19,21,9,15,20,4,8,18,26,27,14,17,29,11,3,16,10,24,13,1,12,22,25,7,28]","[""U6"",""P2"",""U23"",""P5"",""P30"",""P19"",""P21"",""U9"",""U15"",""P20"",""U4"",""U8"",""U18"",""U26"",""P27"",""U14"",""P17"",""U29"",""U11"",""U3"",""P16"",""U10"",""P24"",""P13"",""U1"",""U12"",""U22"",""U25"",""P7"",""U28""]","[""P6"",""U2"",""P23"",""U5"",""U30"",""U19"",""U21"",""P9"",""P15"",""U20"",""P4"",""P8"",""P18"",""P26"",""U27"",""P14"",""U17"",""P29"",""P11"",""P3"",""U16"",""P10"",""U24"",""U13"",""P1"",""P12"",""P22"",""P25"",""U7"",""P28""]","4","4","0","0","1","1","","6808","Please pay attention when watching videos and marking boundaries.<br><br>There are several hidden attention criteria to make sure you watch the videos carefully.<br><br>If you fail these hidden criteria more than the allowed number of times, you may be asked to exit the experiment.","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-multi-choice","6","2.0.0","91679","101","1","2026-06-08 20:19:07","segmentation_norming_randomized_order_maxrun_attention_v4","76.32.236.39","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","WebKit","Chrome","142.0.0.0","Linux","","https://uencdihehs.cognition.run/?PROLIFIC_PID=69886a7e4ed41aea28fefced&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a27231e848baeb2f820669b?PROLIFIC_PID=69886a7e4ed41aea28fefced&SESSION_ID=6a27231e848baeb2f820669b?","en-US,en;q=0.9","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","30","[6,2,23,5,30,19,21,9,15,20,4,8,18,26,27,14,17,29,11,3,16,10,24,13,1,12,22,25,7,28]","[""U6"",""P2"",""U23"",""P5"",""P30"",""P19"",""P21"",""U9"",""U15"",""P20"",""U4"",""U8"",""U18"",""U26"",""P27"",""U14"",""P17"",""U29"",""U11"",""U3"",""P16"",""U10"",""P24"",""P13"",""U1"",""U12"",""U22"",""U25"",""P7"",""U28""]","[""P6"",""U2"",""P23"",""U5"",""U30"",""U19"",""U21"",""P9"",""P15"",""U20"",""P4"",""P8"",""P18"",""P26"",""U27"",""P14"",""U17"",""P29"",""P11"",""P3"",""U16"",""P10"",""U24"",""U13"",""P1"",""P12"",""P22"",""P25"",""U7"",""P28""]","4","4","0","0","1","1","","28098","","{""spacebar_question"":""Between the smallest meaningful events or actions"",""attention_question"":""Press space bar to segment the video""}","comprehension_check","[0,1]","Between the smallest meaningful events or actions","Press space bar to segment the video","true","true","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","2.0.0","116885","101","1","2026-06-08 20:19:07","segmentation_norming_randomized_order_maxrun_attention_v4","76.32.236.39","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","WebKit","Chrome","142.0.0.0","Linux","","https://uencdihehs.cognition.run/?PROLIFIC_PID=69886a7e4ed41aea28fefced&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a27231e848baeb2f820669b?PROLIFIC_PID=69886a7e4ed41aea28fefced&SESSION_ID=6a27231e848baeb2f820669b?","en-US,en;q=0.9","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","30","[6,2,23,5,30,19,21,9,15,20,4,8,18,26,27,14,17,29,11,3,16,10,24,13,1,12,22,25,7,28]","[""U6"",""P2"",""U23"",""P5"",""P30"",""P19"",""P21"",""U9"",""U15"",""P20"",""U4"",""U8"",""U18"",""U26"",""P27"",""U14"",""P17"",""U29"",""U11"",""U3"",""P16"",""U10"",""P24"",""P13"",""U1"",""U12"",""U22"",""U25"",""P7"",""U28""]","[""P6"",""U2"",""P23"",""U5"",""U30"",""U19"",""U21"",""P9"",""P15"",""U20"",""P4"",""P8"",""P18"",""P26"",""U27"",""P14"",""U17"",""P29"",""P11"",""P3"",""U16"",""P10"",""U24"",""U13"",""P1"",""P12"",""P22"",""P25"",""U7"",""P28""]","4","4","0","0","1","1","","25204","You have learned the instructions for the task! Here is a demo trial.<br><br>Like what you will do in the main experiment,<br><br> you will watch a movie clip and at the same time mark off the activity in the movie into the <strong>smallest meaningful units</strong> that seem natural and meaningful to you.<br><br>Remember, tap the <strong>SPACE BAR</strong> to mark off a boundary between two <strong>smallest meaningful units</strong> of activity.<br><br>A green bar will appear at the bottom of the screen when you press the button.<br><br>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","9","2.0.0","133426","101","1","2026-06-08 20:19:07","segmentation_norming_randomized_order_maxrun_attention_v4","76.32.236.39","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","WebKit","Chrome","142.0.0.0","Linux","","https://uencdihehs.cognition.run/?PROLIFIC_PID=69886a7e4ed41aea28fefced&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a27231e848baeb2f820669b?PROLIFIC_PID=69886a7e4ed41aea28fefced&SESSION_ID=6a27231e848baeb2f820669b?","en-US,en;q=0.9","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","30","[6,2,23,5,30,19,21,9,15,20,4,8,18,26,27,14,17,29,11,3,16,10,24,13,1,12,22,25,7,28]","[""U6"",""P2"",""U23"",""P5"",""P30"",""P19"",""P21"",""U9"",""U15"",""P20"",""U4"",""U8"",""U18"",""U26"",""P27"",""U14"",""P17"",""U29"",""U11"",""U3"",""P16"",""U10"",""P24"",""P13"",""U1"",""U12"",""U22"",""U25"",""P7"",""U28""]","[""P6"",""U2"",""P23"",""U5"",""U30"",""U19"",""U21"",""P9"",""P15"",""U20"",""P4"",""P8"",""P18"",""P26"",""U27"",""P14"",""U17"",""P29"",""P11"",""P3"",""U16"",""P10"",""U24"",""U13"",""P1"",""P12"",""P22"",""P25"",""U7"",""P28""]","4","4","0","0","1","1","","null","[""library_v1.mp4""]","null","demo_video","","","","","","","1","demo1","library_v1.mp4","library","Demo","[2.063,12.866857,14.140054,15.221907]","4","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","10","2.0.0","133428","101","1","2026-06-08 20:19:07","segmentation_norming_randomized_order_maxrun_attention_v4","76.32.236.39","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","WebKit","Chrome","142.0.0.0","Linux","","https://uencdihehs.cognition.run/?PROLIFIC_PID=69886a7e4ed41aea28fefced&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a27231e848baeb2f820669b?PROLIFIC_PID=69886a7e4ed41aea28fefced&SESSION_ID=6a27231e848baeb2f820669b?","en-US,en;q=0.9","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","30","[6,2,23,5,30,19,21,9,15,20,4,8,18,26,27,14,17,29,11,3,16,10,24,13,1,12,22,25,7,28]","[""U6"",""P2"",""U23"",""P5"",""P30"",""P19"",""P21"",""U9"",""U15"",""P20"",""U4"",""U8"",""U18"",""U26"",""P27"",""U14"",""P17"",""U29"",""U11"",""U3"",""P16"",""U10"",""P24"",""P13"",""U1"",""U12"",""U22"",""U25"",""P7"",""U28""]","[""P6"",""U2"",""P23"",""U5"",""U30"",""U19"",""U21"",""P9"",""P15"",""U20"",""P4"",""P8"",""P18"",""P26"",""U27"",""P14"",""U17"",""P29"",""P11"",""P3"",""U16"",""P10"",""U24"",""U13"",""P1"",""P12"",""P22"",""P25"",""U7"",""P28""]","4","4","0","0","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","2.0.0","141648","101","1","2026-06-08 20:19:07","segmentation_norming_randomized_order_maxrun_attention_v4","76.32.236.39","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","WebKit","Chrome","142.0.0.0","Linux","","https://uencdihehs.cognition.run/?PROLIFIC_PID=69886a7e4ed41aea28fefced&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a27231e848baeb2f820669b?PROLIFIC_PID=69886a7e4ed41aea28fefced&SESSION_ID=6a27231e848baeb2f820669b?","en-US,en;q=0.9","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","30","[6,2,23,5,30,19,21,9,15,20,4,8,18,26,27,14,17,29,11,3,16,10,24,13,1,12,22,25,7,28]","[""U6"",""P2"",""U23"",""P5"",""P30"",""P19"",""P21"",""U9"",""U15"",""P20"",""U4"",""U8"",""U18"",""U26"",""P27"",""U14"",""P17"",""U29"",""U11"",""U3"",""P16"",""U10"",""P24"",""P13"",""U1"",""U12"",""U22"",""U25"",""P7"",""U28""]","[""P6"",""U2"",""P23"",""U5"",""U30"",""U19"",""U21"",""P9"",""P15"",""U20"",""P4"",""P8"",""P18"",""P26"",""U27"",""P14"",""U17"",""P29"",""P11"",""P3"",""U16"",""P10"",""U24"",""U13"",""P1"",""P12"",""P22"",""P25"",""U7"",""P28""]","4","4","0","0","1","1","","8220","Usually people tend to press the button more times than you did.<br><br>As a reminder, press the <strong>SPACE BAR</strong> whenever one <strong>smallest meaningful unit</strong> of activity ends and another begins.<br><br>Let's try another demo trial.<br><br>","0","demo_feedback","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","video-keyboard-response","12","2.0.0","177330","101","1","2026-06-08 20:19:07","segmentation_norming_randomized_order_maxrun_attention_v4","76.32.236.39","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","WebKit","Chrome","142.0.0.0","Linux","","https://uencdihehs.cognition.run/?PROLIFIC_PID=69886a7e4ed41aea28fefced&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a27231e848baeb2f820669b?PROLIFIC_PID=69886a7e4ed41aea28fefced&SESSION_ID=6a27231e848baeb2f820669b?","en-US,en;q=0.9","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","30","[6,2,23,5,30,19,21,9,15,20,4,8,18,26,27,14,17,29,11,3,16,10,24,13,1,12,22,25,7,28]","[""U6"",""P2"",""U23"",""P5"",""P30"",""P19"",""P21"",""U9"",""U15"",""P20"",""U4"",""U8"",""U18"",""U26"",""P27"",""U14"",""P17"",""U29"",""U11"",""U3"",""P16"",""U10"",""P24"",""P13"",""U1"",""U12"",""U22"",""U25"",""P7"",""U28""]","[""P6"",""U2"",""P23"",""U5"",""U30"",""U19"",""U21"",""P9"",""P15"",""U20"",""P4"",""P8"",""P18"",""P26"",""U27"",""P14"",""U17"",""P29"",""P11"",""P3"",""U16"",""P10"",""U24"",""U13"",""P1"",""P12"",""P22"",""P25"",""U7"",""P28""]","4","4","0","0","1","1","","null","[""garden_v1.mp4""]","null","demo_video","","","","","","","2","demo2","garden_v1.mp4","garden","Demo","[1.234359,2.712641,3.821568,4.907244,5.95068,6.86056,7.962815,9.45354,11.384427,12.785335,14.191125,15.373855,17.396309,18.987783,20.154913,21.646748,22.703349,25.438899,26.980128,29.386403,31.639819,34.14788]","22","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","13","2.0.0","177331","101","1","2026-06-08 20:19:07","segmentation_norming_randomized_order_maxrun_attention_v4","76.32.236.39","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","WebKit","Chrome","142.0.0.0","Linux","","https://uencdihehs.cognition.run/?PROLIFIC_PID=69886a7e4ed41aea28fefced&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a27231e848baeb2f820669b?PROLIFIC_PID=69886a7e4ed41aea28fefced&SESSION_ID=6a27231e848baeb2f820669b?","en-US,en;q=0.9","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","30","[6,2,23,5,30,19,21,9,15,20,4,8,18,26,27,14,17,29,11,3,16,10,24,13,1,12,22,25,7,28]","[""U6"",""P2"",""U23"",""P5"",""P30"",""P19"",""P21"",""U9"",""U15"",""P20"",""U4"",""U8"",""U18"",""U26"",""P27"",""U14"",""P17"",""U29"",""U11"",""U3"",""P16"",""U10"",""P24"",""P13"",""U1"",""U12"",""U22"",""U25"",""P7"",""U28""]","[""P6"",""U2"",""P23"",""U5"",""U30"",""U19"",""U21"",""P9"",""P15"",""U20"",""P4"",""P8"",""P18"",""P26"",""U27"",""P14"",""U17"",""P29"",""P11"",""P3"",""U16"",""P10"",""U24"",""U13"",""P1"",""P12"",""P22"",""P25"",""U7"",""P28""]","4","4","0","0","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","2.0.0","184358","101","1","2026-06-08 20:19:07","segmentation_norming_randomized_order_maxrun_attention_v4","76.32.236.39","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","WebKit","Chrome","142.0.0.0","Linux","","https://uencdihehs.cognition.run/?PROLIFIC_PID=69886a7e4ed41aea28fefced&STUDY_ID=6a270c2e609d6ae583c06396&STUDY_ID=6a270c2e609d6ae583c06396&SESSION_ID=6a27231e848baeb2f820669b?PROLIFIC_PID=69886a7e4ed41aea28fefced&SESSION_ID=6a27231e848baeb2f820669b?","en-US,en;q=0.9","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","69886a7e4ed41aea28fefced","6a270c2e609d6ae583c06396","6a27231e848baeb2f820669b?","30","[6,2,23,5,30,19,21,9,15,20,4,8,18,26,27,14,17,29,11,3,16,10,24,13,1,12,22,25,7,28]","[""U6"",""P2"",""U23"",""P5"",""P30"",""P19"",""P21"",""U9"",""U15"",""P20"",""U4"",""U8"",""U18"",""U26"",""P27"",""U14"",""P17"",""U29"",""U11"",""U3"",""P16"",""U10"",""P24"",""P13"",""U1"",""U12"",""U22"",""U25"",""P7"",""U28""]","[""P6"",""U2"",""P23"",""U5"",""U30"",""U19"",""U21"",""P9"",""P15"",""U20"",""P4"",""P8"",""P18"",""P26"",""U27"",""P14"",""U17"",""P29"",""P11"",""P3"",""U16"",""P10"",""U24"",""U13"",""P1"",""P12"",""P22"",""P25"",""U7"",""P28""]","4","4","0","0","1","1","","7027","Great! Hopefully you got an idea of what a meaningful unit is.<br><br>Remember that there is no right or wrong answer.<br><br>We just want to know which parts of the activity seem natural and meaningful to you.<br><br>Now the main experiment starts.<br><br>For each clip, while watching, remember to press the SPACE BAR whenever one <strong>smallest meaningful unit</strong> of activity ends and another begins.<br><br>","0","demo_feedback","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
